t,s,e,i,r
0,1000000,0,3,0
0.10583571216227854,1000000,0,2,1
0.3218897504300761,999999,1,2,1
0.35601694609544743,999999,0,3,1
0.6460190742404666,999998,1,3,1
0.7842617069709786,999997,2,3,1
0.8842962693544465,999996,3,3,1
0.922947627171608,999996,3,2,2
0.9325005638048078,999996,3,1,3
1.054709920892552,999996,2,2,3
1.3280067189223295,999995,3,2,3
1.3940152730183215,999994,4,2,3
1.609347458078331,999993,5,2,3
1.6258607463663242,999993,4,3,3
1.6325974456651904,999993,4,2,4
1.7049886301143755,999993,3,3,4
1.810700791524969,999993,3,2,5
1.8612240390004462,999993,2,3,5
1.9879271768513669,999992,3,3,5
2.020789523472879,999991,4,3,5
2.1310806705854946,999990,5,3,5
2.1957835197708384,999990,4,4,5
2.286615679669475,999990,3,5,5
2.3019248775573478,999990,3,4,6
2.309382363872788,999990,2,5,6
2.309430312725003,999990,2,4,7
2.313178143915609,999989,3,4,7
2.3931206258785593,999988,4,4,7
2.5198467778716003,999987,5,4,7
2.5646968760915363,999987,4,5,7
2.6125544006240253,999987,4,4,8
2.6153316826002624,999986,5,4,8
2.621306083974232,999986,4,5,8
2.629054612084444,999986,4,4,9
2.6360793215929594,999986,3,5,9
2.678059561260114,999986,3,4,10
2.7345844349038115,999985,4,4,10
2.7727089560862863,999985,3,5,10
2.8743425025947245,999985,3,4,11
2.994623690563145,999984,4,4,11
2.997463614661529,999984,3,5,11
3.0394075608729607,999984,2,6,11
