t,s,e,i,r
0,1000000,0,3,0
0.08248717014580635,999999,1,3,0
0.09162591857423591,999999,1,2,1
0.12460158785331266,999998,2,2,1
0.2836201097926863,999997,3,2,1
0.36122187322050725,999997,3,1,2
0.49476806122886985,999997,2,2,2
0.4947687956494151,999997,2,1,3
0.7302200632409523,999997,1,2,3
0.7342264143984902,999997,0,3,3
0.7474472617031094,999996,1,3,3
0.7884025630353919,999995,2,3,3
0.9987133215759745,999995,1,4,3
1.0146737932078005,999995,0,5,3
1.0353844895631432,999994,1,5,3
1.0422709406022588,999994,1,4,4
1.0658213920297799,999993,2,4,4
1.0833808294488583,999993,2,3,5
1.3732534688461724,999992,3,3,5
1.4005693492030926,999991,4,3,5
1.4274376043113213,999991,3,4,5
1.5480141319286442,999990,4,4,5
1.5734125489944604,999990,3,5,5
1.6925587332441192,999990,2,6,5
1.6925889857357583,999990,2,5,6
1.8242716354335038,999989,3,5,6
1.8436072902971168,999988,4,5,6
1.862812433203317,999987,5,5,6
1.863366462595451,999986,6,5,6
1.886586835116948,999986,5,6,6
1.8865874467777226,999986,5,5,7
2.0293742320277683,999986,4,6,7
