t,s,e,i,r
0,1000000,0,3,0
0.006253958850118873,1000000,0,2,1
0.010498138097017816,999999,1,2,1
0.010845373571885976,999998,2,2,1
0.018019715826748165,999998,2,1,2
0.16385950740653624,999998,1,2,2
0.6651829558839898,999998,0,3,2
0.8536563258721301,999997,1,3,2
0.8597176740716419,999996,2,3,2
0.8859655919862087,999995,3,3,2
1.0047259997949918,999995,3,2,3
1.1340509352590884,999994,4,2,3
1.2571271411285827,999994,3,3,3
1.2635909424658474,999993,4,3,3
1.4820717001044033,999993,3,4,3
1.4909515912695732,999992,4,4,3
1.5364596057781967,999991,5,4,3
1.5466215603217361,999991,5,3,4
1.5692046521072271,999991,4,4,4
1.6422090948440355,999991,3,5,4
1.6928732042651229,999991,2,6,4
1.7672012910640387,999990,3,6,4
1.8000917168132684,999990,2,7,4
1.8166478071420888,999989,3,7,4
1.8189982203146602,999988,4,7,4
1.828013348866182,999987,5,7,4
1.853984606952729,999987,5,6,5
1.8804187244634412,999986,6,6,5
2.027508519122859,999985,7,6,5
