t,s,e,i,r
0,1000000,0,3,0
0.0015932114871148053,1000000,0,2,1
0.009420357246305917,1000000,0,1,2
0.32950550810439533,999999,1,1,2
0.5627871957975611,999998,2,1,2
0.5967051736076672,999998,1,2,2
0.7363652617065537,999998,1,1,3
0.9018130787570882,999998,0,2,3
1.175197381097857,999997,1,2,3
1.461555729941497,999996,2,2,3
1.6543027726677972,999995,3,2,3
1.785682631018859,999995,2,3,3
1.9172760233199013,999995,1,4,3
1.9622265626912037,999995,1,3,4
2.1256397914049137,999995,0,4,4
2.242274901198807,999994,1,4,4
2.2470090883324603,999993,2,4,4
2.362147473605737,999992,3,4,4
2.3926725315018618,999992,3,3,5
2.477800227261587,999991,4,3,5
2.523396012432888,999991,3,4,5
2.603535738309552,999990,4,4,5
2.6155147574161632,999990,4,3,6
2.622369497606051,999990,3,4,6
3.0479065315421985,999990,2,5,6
3.051656381170304,999990,2,4,7
3.2037674395039315,999989,3,4,7
3.2442138698580645,999989,2,5,7
3.2670941808496243,999988,3,5,7
3.2781757335033417,999987,4,5,7
3.27972206979687,999987,3,6,7
3.28688868233912,999987,3,5,8
3.292908150672706,999986,4,5,8
3.306450403181534,999985,5,5,8
3.432706812790404,999984,6,5,8
3.446205620187008,999983,7,5,8
3.5023289445794,999982,8,5,8
3.522885926741337,999982,7,6,8
3.5684490357321486,999982,6,7,8
3.581410985082691,999981,7,7,8
3.6032474959640397,999980,8,7,8
3.7031424998700535,999980,7,8,8
3.7521569101345738,999979,8,8,8
3.771044621552035,999978,9,8,8
3.790804153077573,999978,8,9,8
3.813718080769753,999977,9,9,8
3.8226526608831386,999977,9,8,9
3.8497939843777136,999977,8,9,9
3.877939848671704,999977,8,8,10
3.942432022101809,999977,7,9,10
3.951402910689388,999977,7,8,11
3.9518692964463322,999976,8,8,11
4.030491698396163,999975,9,8,11
