t,s,e,i,r
0,1000000,0,3,0
0.0016569042259360171,1000000,0,2,1
0.022776834636558385,1000000,0,1,2
0.11774514354488373,999999,1,1,2
0.422917212250463,999999,0,2,2
0.8896313275289658,999998,1,2,2
1.0663634578256618,999998,0,3,2
1.0675589348630026,999998,0,2,3
1.0816105368552307,999997,1,2,3
1.3724477563562822,999997,0,3,3
1.4189656676051827,999996,1,3,3
1.4895891970045072,999995,2,3,3
1.6186725708272585,999994,3,3,3
1.6696146014231812,999993,4,3,3
1.7476537698782935,999993,3,4,3
1.7640017805458361,999993,3,3,4
1.7852510998378024,999993,3,2,5
1.785700055167332,999993,2,3,5
1.8984526434573685,999992,3,3,5
1.9593787619501617,999992,2,4,5
1.965570492793784,999991,3,4,5
1.969014095546029,999991,3,3,6
2.0630184026330327,999990,4,3,6
2.1925245954650094,999990,3,4,6
2.240543254303623,999990,3,3,7
2.3069455877404828,999989,4,3,7
2.346357144170093,999988,5,3,7
2.4068737857857387,999988,4,4,7
2.4162611115489017,999987,5,4,7
2.6306839835759916,999987,4,5,7
2.6306855611248445,999987,4,4,8
2.6356864960285664,999986,5,4,8
2.6925364711543103,999986,4,5,8
2.693709358373714,999986,3,6,8
2.694884580128062,999985,4,6,8
2.70772310956442,999984,5,6,8
2.9148456815300046,999984,4,7,8
2.9293758426279357,999984,3,8,8
2.93856374197671,999983,4,8,8
2.94373285047005,999982,5,8,8
2.9522954627704645,999981,6,8,8
2.973202704858535,999981,5,9,8
2.9792344112121363,999981,4,10,8
2.99049789019128,999980,5,10,8
3.0347371857554406,999979,6,10,8
