ancestors,R0,dispersion
1,2,0.3
1,2,0.5
1,3,0.3
1,3,0.5
2,2,0.3
2,2,0.5
2,3,0.3
2,3,0.5
3,2,0.3
3,2,0.5
3,3,0.3
3,3,0.5
