t,s,e,i,r
0,1000000,0,3,0
0.6369515776143776,1000000,0,2,1
1.0666927267259658,999999,1,2,1
1.1833291327478117,999998,2,2,1
1.2865229431811491,999997,3,2,1
1.3356106301065702,999997,2,3,1
1.5815180590113376,999996,3,3,1
1.614969764224117,999995,4,3,1
1.6214280589505294,999994,5,3,1
1.6751278475340712,999993,6,3,1
1.8381212274003875,999993,5,4,1
1.9686776627021392,999993,4,5,1
1.9691931125540214,999993,3,6,1
1.970518563715859,999993,3,5,2
1.980421000107153,999993,2,6,2
1.9817445710914297,999993,2,5,3
1.98681486410837,999993,2,4,4
2.030283662087184,999992,3,4,4
2.1013066921277637,999991,4,4,4
2.112544566809563,999990,5,4,4
2.200326832487236,999989,6,4,4
2.2231382848400916,999988,7,4,4
2.237032026812842,999988,6,5,4
2.2538928966385785,999987,7,5,4
2.330346393730763,999986,8,5,4
2.3414567419062395,999986,8,4,5
2.426450774163533,999985,9,4,5
2.478158541654755,999985,8,5,5
2.4782791280490475,999985,8,4,6
2.4868014164126047,999984,9,4,6
2.4897393803243606,999984,8,5,6
2.4928031760103515,999984,7,6,6
2.498760179234049,999984,7,5,7
2.515391460086283,999983,8,5,7
2.5770557915568593,999982,9,5,7
2.5953920455636905,999982,9,4,8
2.607309866587193,999982,8,5,8
2.6385717377965436,999982,7,6,8
2.638954618612812,999982,7,5,9
2.644633875492828,999982,6,6,9
2.6560875020760317,999981,7,6,9
2.669836002597501,999981,6,7,9
2.7222476410255503,999981,6,6,10
2.7248693180235257,999980,7,6,10
2.7263842598290187,999979,8,6,10
2.7271266997119716,999979,8,5,11
2.764849412597955,999979,8,4,12
2.7696096106823562,999979,7,5,12
2.8377031607078456,999978,8,5,12
2.8610400442778934,999978,7,6,12
2.861045281569299,999978,7,5,13
2.8836047350664837,999978,6,6,13
2.9445154108778824,999978,6,5,14
3.069104629992938,999978,5,6,14
