t,s,e,i,r
0,1000000,0,3,0
0.11115262475795375,999999,1,3,0
0.1299581662159841,999998,2,3,0
0.2901059788664374,999997,3,3,0
0.2902826023348997,999996,4,3,0
0.3533426943410485,999995,5,3,0
0.3689404000939886,999994,6,3,0
0.5292289609179694,999994,5,4,0
0.5317400230557325,999994,5,3,1
0.5404290603852865,999993,6,3,1
0.6219720530276889,999993,5,4,1
0.6219776397219307,999993,5,3,2
0.6255883877212864,999993,4,4,2
0.6808604637883289,999993,3,5,2
0.7452274769200338,999993,2,6,2
0.745227477383907,999993,2,5,3
0.8255071469897559,999993,1,6,3
0.8392210887085405,999992,2,6,3
0.8438429651865041,999992,1,7,3
0.8674343110539717,999991,2,7,3
0.9558684246581759,999991,2,6,4
1.0200247737581267,999991,2,5,5
1.0318333821735803,999991,1,6,5
1.092286384883697,999991,1,5,6
1.118238774036588,999990,2,5,6
1.1553819795295777,999990,1,6,6
1.1641399153903982,999990,1,5,7
1.1801821521942708,999989,2,5,7
1.2746864602865158,999988,3,5,7
1.3312457823560004,999988,2,6,7
1.4502428881772853,999987,3,6,7
1.6323821155244889,999987,2,7,7
1.656263563699774,999987,1,8,7
1.6572454460475259,999987,1,7,8
1.6622320693254915,999987,1,6,9
1.7061196793388014,999986,2,6,9
1.709016487659483,999985,3,6,9
1.7604589154395383,999984,4,6,9
1.7828199061360444,999984,3,7,9
1.7955242513537881,999984,3,6,10
1.83337510139539,999983,4,6,10
1.8775716704514676,999982,5,6,10
1.9006762659043566,999981,6,6,10
1.9206860133657242,999980,7,6,10
1.931514481594221,999980,6,7,10
1.9685533434703424,999979,7,7,10
2.04678705696909,999979,6,8,10
