t,s,e,i,r
0,1000000,0,3,0
0.08650278450410526,999999,1,3,0
0.09464061723129323,999999,1,2,1
0.11257302982409945,999999,1,1,2
0.6643574973726798,999999,0,2,2
0.722790331259803,999998,1,2,2
0.8096961121894042,999997,2,2,2
0.8909698276554834,999996,3,2,2
1.133051803093817,999996,2,3,2
1.1417705990216638,999996,2,2,3
1.1615110122371362,999996,1,3,3
1.2082382314960176,999995,2,3,3
1.2806086764103137,999994,3,3,3
1.2936152076183056,999994,2,4,3
1.2948771438083844,999994,2,3,4
1.3395389593579548,999993,3,3,4
1.34802207441244,999993,3,2,5
1.4060205595406092,999993,2,3,5
1.4096698784477641,999992,3,3,5
1.4258526043919835,999991,4,3,5
1.4809381514308322,999991,4,2,6
1.5080607989358799,999991,3,3,6
1.5613839115781731,999991,2,4,6
1.627909595878835,999990,3,4,6
1.6316779466009368,999989,4,4,6
1.7056680047243888,999988,5,4,6
1.715888383527994,999987,6,4,6
1.8212456749783288,999986,7,4,6
1.823342280054874,999985,8,4,6
1.854484839109348,999984,9,4,6
1.9137003225043316,999984,8,5,6
1.9227807031802306,999984,7,6,6
1.9371377866304749,999984,7,5,7
1.9737263557064608,999984,7,4,8
1.9908083558804062,999984,6,5,8
2.0071888770585686,999984,6,4,9
